Date,Club Type,Club Description,Altitude,Club Speed,Ball Speed,Carry Distance,Total Distance,Roll Distance,Smash,Vertical Launch,Peak Height,Descent Angle,Horizontal Launch,Carry Lateral Distance,Total Lateral Distance,Carry Curve Distance,Total Curve Distance,Attack Angle,Dynamic Loft,Spin Loft,Spin Rate,Spin Axis,Spin Reading,Low Point,Club Path,Face Path,Face Target,Swing Plane Tilt,Swing Plane Rotation,Shot Classification
,,,[ft],[mph],[mph],[yd],[yd],[yd],,[deg],[ft],[deg],[deg],[yd],[yd],[yd],[yd],[deg],[deg],[deg],[rpm],[deg],,[in],[deg],[deg],[deg],[deg],[deg],
2025-05-14 14:12:58,Driver,,0.00,102.23,135.92,202.17,214.59,12.43,1.33,20.38,136.25,48.08,8.29,58.04,64.28,29.51,34.09,3.83,23.31,19.48,5125,28.94,Actual,,-9.45,20.98,11.54,,,Push Slice
2025-05-14 14:14:18,Driver,,0.00,101.80,55.23,28.02,28.42,0.40,0.54,65.97,78.38,69.38,26.46,14.73,14.98,2.56,2.65,,,,4625,29.99,Actual,,-11.96,45.99,34.04,,,Push Slice
2025-05-14 14:15:04,Driver,,0.00,98.89,116.70,152.03,160.03,7.99,1.18,29.28,143.73,52.97,20.73,74.74,80.25,23.02,26.03,3.71,33.79,30.08,7760,30.00,Actual,,-10.95,37.86,26.91,,,Push Slice
2025-05-14 14:15:30,Driver,,0.00,92.61,115.60,157.64,167.43,9.79,1.25,21.42,106.27,48.51,10.20,43.50,47.67,15.99,18.50,5.51,24.23,18.71,7734,21.44,Actual,,-12.12,26.39,14.26,,,Push Slice
2025-05-14 14:16:40,Driver,,0.00,84.38,97.22,127.17,136.82,9.65,1.15,24.28,83.37,46.93,12.93,37.34,41.17,9.19,10.94,1.72,28.26,26.54,8529,17.65,Actual,,-9.48,26.67,17.18,,,Push Slice
2025-05-14 14:17:14,Driver,,0.00,94.26,105.25,132.06,139.07,7.01,1.12,36.20,146.82,54.77,-4.86,-11.19,-11.79,0.00,0.00,,,,6116,0.00,Actual,,-10.00,5.60,-4.40,,,Pull
2025-05-14 14:17:58,Driver,,0.00,86.23,71.09,63.45,82.14,18.70,0.82,10.72,11.52,16.58,-5.96,-4.62,-5.03,1.97,3.50,,,,5762,16.70,Actual,,-20.00,15.80,-4.20,,,Pull Slice
2025-05-14 14:18:20,Driver,,0.00,95.61,134.78,212.76,225.14,12.38,1.41,18.80,124.97,46.44,2.59,19.13,21.06,9.50,10.89,3.85,21.43,17.58,4201,9.58,Actual,,-2.75,6.33,3.58,,,Push Fade
2025-05-14 14:19:25,Driver,,0.00,96.55,138.22,227.89,243.71,15.82,1.43,17.71,120.21,44.05,2.35,22.15,25.02,12.84,15.07,5.77,19.82,14.05,3799,12.77,Actual,,-4.01,7.48,3.47,,,Push Fade
2025-05-14 14:20:18,Driver,,0.00,101.80,145.36,243.95,262.48,18.53,1.43,13.80,95.31,37.36,-3.82,7.40,10.63,23.61,28.06,,,,3297,25.26,Actual,,-13.92,11.40,-2.52,,,Pull Slice
2025-05-14 14:20:52,Driver,,0.00,101.98,144.48,236.98,258.22,21.24,1.42,11.54,76.02,32.96,2.14,23.48,27.55,14.65,17.94,2.64,13.11,10.47,3171,17.45,Actual,,-4.68,8.00,3.32,,,Push Slice
2025-05-14 14:21:18,Driver,,0.00,106.97,136.92,198.86,208.84,9.97,1.28,23.19,156.56,50.43,8.30,58.76,63.95,30.74,34.60,6.85,26.08,19.22,5333,29.33,Actual,,-9.56,21.12,11.55,,,Push Slice
2025-05-14 14:22:01,Driver,,0.00,103.95,149.79,257.06,274.69,17.63,1.44,15.23,112.93,40.62,-1.63,2.93,4.19,10.23,11.99,3.92,17.23,13.31,3098,10.09,Actual,,-5.44,4.30,-1.15,,,Fade
2025-05-14 14:22:36,Driver,,0.00,109.81,133.41,183.29,191.96,8.67,1.21,28.10,177.99,53.20,15.97,78.93,84.58,30.35,33.89,1.70,32.75,31.05,5689,30.00,Actual,,-6.24,26.64,20.40,,,Push Slice
2025-05-14 14:22:55,Driver,,0.00,109.05,91.80,104.59,121.14,16.54,0.84,11.42,27.53,26.51,-12.27,-26.79,-32.16,-4.70,-6.61,,,,10419,-15.72,Actual,,,,,,,Pull Hook
2025-05-14 14:23:19,Driver,,0.00,104.26,129.50,180.57,189.58,9.01,1.24,27.42,167.22,53.07,4.30,26.40,28.71,12.95,14.59,-0.58,32.37,32.95,5519,13.23,Actual,,-4.56,10.49,5.93,,,Push Fade
2025-05-14 14:24:03,Driver,,0.00,105.20,140.43,216.95,230.07,13.12,1.33,18.66,136.25,47.70,8.24,58.80,64.85,28.27,32.55,-1.92,22.29,24.21,4573,26.07,Actual,,-5.73,16.64,10.90,,,Push Slice
2025-05-14 14:24:25,Driver,,0.00,101.98,123.95,173.96,183.66,9.71,1.22,24.35,137.93,51.01,5.31,28.16,30.76,12.16,13.88,-0.03,28.65,28.68,5903,13.47,Actual,,-4.55,11.70,7.15,,,Push Fade
2025-05-14 14:24:54,Driver,,0.00,101.98,153.07,264.48,281.35,16.87,1.50,15.79,119.03,41.31,-2.72,-9.62,-9.95,2.93,3.40,1.87,18.24,16.37,2824,2.90,Actual,,-3.75,1.00,-2.74,,,Pull
2025-05-14 14:25:28,Driver,,0.00,108.18,91.13,99.32,104.90,5.58,0.84,47.15,145.73,58.04,8.58,28.01,30.58,13.47,15.27,9.61,53.78,44.17,5020,30.00,Actual,,-9.41,21.29,11.88,,,Push Slice
2025-05-14 14:25:51,Driver,,0.00,101.51,135.40,202.67,212.34,9.67,1.33,23.47,159.06,51.39,-4.15,-17.17,-18.16,-2.49,-2.79,1.71,27.31,25.60,4739,-2.32,Actual,,-2.77,-1.86,-4.63,,,Pull
2025-05-14 14:26:11,Driver,,0.00,129.12,17.34,6.40,9.45,3.05,0.13,35.47,3.51,35.56,-5.96,-0.59,-0.82,0.07,0.16,,,,5705,17.04,Actual,,-15.43,10.53,-4.90,,,Pull Slice
2025-05-14 14:26:58,Driver,,0.00,115.00,123.79,173.65,182.71,9.07,1.08,29.78,165.26,53.06,0.72,2.20,2.31,0.00,0.00,,,,5130,0.00,Actual,,,,,,,Straight
2025-05-14 14:27:31,Driver,,0.00,101.53,139.43,224.45,237.39,12.94,1.37,18.77,132.35,46.61,2.48,22.23,24.60,12.54,14.36,-1.44,22.34,23.78,4034,11.91,Actual,,-3.52,7.07,3.55,,,Push Fade
2025-05-14 14:28:03,Driver,,0.00,102.03,136.25,208.09,220.52,12.42,1.34,19.46,133.96,48.08,4.35,38.63,43.00,23.01,26.48,-1.86,23.22,25.09,4724,22.00,Actual,,-8.33,14.90,6.56,,,Push Slice
2025-05-14 14:28:28,Driver,,0.00,103.79,148.13,254.18,268.82,14.64,1.43,17.71,133.99,44.63,-3.63,-14.34,-15.00,1.76,2.01,0.82,20.69,19.87,3335,1.61,Actual,,-4.29,0.53,-3.76,,,Pull
2025-05-14 14:29:04,Driver,,0.00,105.87,107.82,125.04,147.99,22.94,1.02,5.45,17.49,16.10,8.11,17.63,20.87,0.00,0.00,,,,4954,0.00,Actual,,,,,,,Push
2025-05-14 14:29:38,Driver,,0.00,126.97,137.15,217.71,229.54,11.83,1.08,20.93,143.44,48.66,11.42,43.12,45.47,0.00,0.00,,,,4101,0.00,Actual,,,,,,,Push
2025-05-14 14:30:00,Driver,,0.00,112.00,145.33,229.56,243.54,13.98,1.30,15.01,116.60,43.71,5.81,55.27,61.49,32.43,37.31,8.98,16.07,7.08,4322,30.00,Actual,,-10.20,18.83,8.63,,,Push Slice
2025-05-14 14:30:29,Driver,,0.00,110.10,140.17,211.32,221.97,10.65,1.27,21.24,152.03,49.59,8.43,60.09,65.31,29.75,33.52,1.53,24.72,23.18,4862,26.89,Actual,,-6.17,17.37,11.20,,,Push Slice
2025-05-14 14:30:56,Driver,,0.00,132.81,153.86,199.16,234.14,34.98,1.16,2.77,19.29,12.46,-4.62,-16.03,-18.84,0.00,0.00,,,,2952,0.00,Actual,,,,,,,Pull
2025-05-14 14:31:33,Driver,,0.00,107.19,154.77,261.30,274.31,13.01,1.44,21.50,180.58,49.82,-2.52,7.98,9.88,19.44,21.91,,,,3583,15.35,Actual,,-9.00,7.30,-1.70,,,Pull Slice
2025-05-14 14:32:08,Driver,,0.00,107.42,155.06,268.07,283.72,15.65,1.44,16.97,139.37,44.60,-8.28,-52.02,-56.26,-13.60,-15.62,6.98,18.73,11.75,3253,-11.76,Actual,,-3.77,-5.74,-9.51,,,Pull Draw
2025-05-14 14:32:37,Driver,,0.00,125.72,114.71,135.20,140.75,5.54,0.91,38.70,180.51,57.17,13.35,31.59,32.92,0.38,0.43,,,,6677,0.54,Actual,,-16.87,35.69,18.82,,,Push
2025-05-14 14:33:04,Driver,,0.00,119.27,145.49,230.77,248.02,17.25,1.22,12.32,94.72,39.16,1.38,35.83,41.85,30.31,35.95,,,,4122,30.00,Actual,,-14.40,18.28,3.87,,,Slice
2025-05-14 14:33:38,Driver,,0.00,120.28,129.76,214.80,225.19,10.39,1.08,31.36,178.94,52.81,14.01,58.15,61.40,6.34,7.11,,,,2445,7.87,Actual,,,,,,,Push Fade
2025-05-14 14:34:07,Driver,,0.00,112.29,159.52,272.66,286.10,13.44,1.42,19.33,170.70,48.09,-1.07,25.12,28.63,30.19,33.95,3.75,22.08,18.32,3534,23.30,Actual,,-10.18,10.42,0.24,,,Slice
2025-05-14 14:34:44,Driver,,0.00,108.85,148.76,227.44,238.15,10.71,1.37,22.70,180.25,51.23,3.30,49.34,54.19,36.47,40.74,,,,4481,29.99,Actual,,-19.28,26.24,6.96,,,Push Slice
2025-05-14 14:35:08,Driver,,0.00,104.42,98.11,97.63,102.05,4.41,0.94,48.53,165.29,59.32,15.16,38.99,41.57,14.22,15.75,,,,6261,29.99,Actual,,-7.25,26.81,19.57,,,Push Slice
2025-05-14 14:35:32,Driver,,0.00,101.40,138.82,216.73,230.28,13.55,1.37,18.22,128.90,46.63,6.39,52.32,58.20,28.59,33.04,,,,4441,27.26,Actual,,-8.27,17.31,9.04,,,Push Slice
2025-05-14 14:35:55,Driver,,0.00,109.65,21.32,8.85,14.42,5.58,0.19,27.30,3.41,27.86,-15.55,-2.40,-3.94,-0.02,-0.08,9.83,30.39,20.56,4131,-4.55,Actual,,-13.36,-3.53,-16.89,,,Pull
2025-05-14 14:36:24,Driver,,0.00,106.10,154.91,224.55,256.07,31.52,1.46,5.71,36.91,19.48,-1.47,4.65,7.51,10.41,14.09,1.80,6.40,4.60,2696,17.01,Actual,,-6.91,6.17,-0.74,,,Slice
2025-05-14 14:36:51,Driver,,0.00,108.65,144.37,217.78,229.13,11.35,1.33,22.34,168.21,50.67,5.90,56.97,62.62,35.06,39.63,8.49,24.78,16.29,4759,29.99,Actual,,-14.72,24.14,9.42,,,Push Slice
